title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,consent,advisory_prerequisites,other_course_info,repeatability
Discrete State Stochastic Processes,"This is a course on the theory and applications of stochastic processes, mostly on discrete state spaces. It is the second course in the probability that it should be of interest to students of mathematics and statistics as well as students from other disciplines in which stochastic processes have found significant applications.","
                                                    MATH
                                                    526
                                                    -
                                                    Disc Stoch Proc, Section
                                                    001",STATS,526,"Winter 2022, ",Section 001,,3,BS,,,MATH 525 or STATS 525 or EECS 501.,,May not be repeated for credit.
Discrete State Stochastic Processes,"This is a course on the theory and applications of stochastic processes, mostly on discrete state spaces. It is the second course in the probability that it should be of interest to students of mathematics and statistics as well as students from other disciplines in which stochastic processes have found significant applications.","
                                                    MATH
                                                    526
                                                    -
                                                    Disc Stoch Proc, Section
                                                    002",STATS,526,"Winter 2022, ",Section 002,,3,BS,,,MATH 525 or STATS 525 or EECS 501.,,May not be repeated for credit.
Discrete State Stochastic Processes,"This is a course on the theory and applications of stochastic processes, mostly on discrete state spaces. It is the second course in the probability that it should be of interest to students of mathematics and statistics as well as students from other disciplines in which stochastic processes have found significant applications.","
                                                    MATH
                                                    526
                                                    -
                                                    Disc Stoch Proc, Section
                                                    003",STATS,526,"Winter 2022, ",Section 003,,3,BS,,,MATH 525 or STATS 525 or EECS 501.,,May not be repeated for credit.
Modeling and Analysis of Time Series Data,"Introduction to time series analysis using time-domain and frequency-domain methods including: auto-regressive moving average (ARMA) models, regression with ARMA errors, estimation of the spectral density, state-space model techniques for fitting structured dynamic models to time series data. Examples will be drawn from ecology, economics, epidemiology, finance and elsewhere.","Ionides, Edward  ",STATS,531,"Winter 2022, ",Section 001,,3,BS,,,STATS 500 or equivalent and co-requisite 511.,W.,May not be repeated for credit.
Mathematics of Data,"This course is open to graduate students and upper-level undergraduates in applied mathematics, bioinformatics, statistics, and engineering, who are interested in learning from data. Students with other backgrounds such as life sciences are also welcome, provided they have maturity in mathematics. The mathematical content in this course will be linear algebra, multilinear algebra, dynamical systems, and information theory. This content is required to understand some common algorithms in data science. I will start with a very basic introduction to data representation as vectors, matrices, and tensors. Then I will teach geometric methods for dimension reduction, also known as manifold learning (e.g. diffusion maps, t-distributed stochastic neighbor embedding (t-SNE), etc.), and topological data reduction (introduction to computational homology groups, etc.). I will bring an application-based approach to spectral graph theory, addressing the combinatorial meaning of eigenvalues and eigenvectors of their associated graph matrices and extensions to hypergraphs via tensors. I will also provide an introduction to the application of dynamical systems theory to data including dynamic mode decomposition. Real data examples will be given where possible and I will work with you write code implementing these algorithms to solve these problems. The methods discussed in this class are shown primarily for biological data, but are useful in handling data across many fields. A course features several guest lectures from industry and government.

There is no textbook for this course.

 For more information on this course, please visit the Department of Mathematics webpage ","
                                                    BIOINF
                                                    547
                                                    -
                                                    Mathematics of Data, Section
                                                    001",STATS,547,"Winter 2022, ",Section 001,,3,BS,,,"MATH, Flexible, due to diverse backgrounds of intended audience.  Basic probability (level of MATH/STATS 425), or molecular biology (level of BIOLOGY 427), or biochemistry (level of CHEM/BIOLCHEM 451), or basic programming skills desirable or permission.",,May not be repeated for credit.
"CGIS: International Business and Economics at the Universitat Pompeu Fabra in Barcelona, Spain","Students enroll in business, economics and spanish classes at the Universitat Pompeu Fabra (UPF) in Barcelona, Spain.",,STDABRD,232,"Winter 2022, ",Section 001,,1 - 15,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 001,,1 - 15,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 002,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 003,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 004,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 005,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 006,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 007,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 008,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 009,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 010,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 011,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 012,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 013,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 014,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 015,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 016,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 017,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 018,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 019,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 020,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 021,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 022,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 023,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 024,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 025,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 026,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 027,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 028,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 029,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 030,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 031,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 032,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 033,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 034,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 035,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 036,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 037,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 038,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
CGIS: International Business and Humanities at the Universitat Autonoma de Barcelona (UAB),"Students may take an optional Spanish language course at their level then choose from a variety of English or Spanish-taught electives at the Universitat Autonoma de Barcelona (UAB). Course offerings include international business, humanities and social sciences.",,STDABRD,236,"Winter 2022, ",Section 039,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Policy, Law, and European Regional Autonomy in Bilbao, Spain","Students take courses taught by local instructors at the SIT Center. Topics include comparative regional autonomy, independence movements in Europe, Spanish, policy, research methods, and ethics. Participants have the opportunity to research a topic of their choice to present at the end of the semester. All but one of the classes in this program will be taught in English; however there will be one Spanish language class included, in which the students will test into the level they'll be participating in.",,STDABRD,238,"Winter 2022, ",Section 001,,1 - 15,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 001,,1 - 15,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 002,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 003,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 004,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 005,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 006,,1,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 007,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 008,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 009,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 010,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 011,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 012,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 013,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 014,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 015,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 016,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 017,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 018,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 019,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 020,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 021,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 022,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 023,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 024,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 025,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 026,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 027,,3,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 028,,1 - 15,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: International Relations, Humanities, and Social Sciences in Aix-en-Provence, France","Students enroll in classes at the Institute for American Universities in Aix-en-Provence, France. A wide range of classes is available. Students must take one course in French language.",,STDABRD,292,"Winter 2022, ",Section 029,,1 - 15,,,,,,May be repeated for a maximum of 60 credit(s).  
"CGIS: Arabic Language and Culture in Amman, Jordan - Internship Track","Students take part in an internship course and internship, along with an Arabic language course and Middle East studies electives to meet the recommended 15-16 total credits.",,STDABRD,301,"Winter 2022, ",Section 001,,1 - 15,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Arabic Language and Culture in Amman, Jordan - Internship Track","Students take part in an internship course and internship, along with an Arabic language course and Middle East studies electives to meet the recommended 15-16 total credits.",,STDABRD,301,"Winter 2022, ",Section 002,,6,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Arabic Language and Culture in Amman, Jordan - Internship Track","Students take part in an internship course and internship, along with an Arabic language course and Middle East studies electives to meet the recommended 15-16 total credits.",,STDABRD,301,"Winter 2022, ",Section 003,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Arabic Language and Culture in Amman, Jordan - Internship Track","Students take part in an internship course and internship, along with an Arabic language course and Middle East studies electives to meet the recommended 15-16 total credits.",,STDABRD,301,"Winter 2022, ",Section 004,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Arabic Language and Culture in Amman, Jordan - Internship Track","Students take part in an internship course and internship, along with an Arabic language course and Middle East studies electives to meet the recommended 15-16 total credits.",,STDABRD,301,"Winter 2022, ",Section 005,,3,,,,,,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Environment and Sustainable Development in San Jose, Costa Rica","Students take classes in intensive language, ecology, Latin American political economy, and development theory. They also do fieldwork and an independent research project.",,STDABRD,303,"Winter 2022, ",Section 002,,3,,Sustain,,"Minimum two semesters college-level Spanish, fulfilled by: SPANISH 100, SPANISH 102, RCLANG 194, or equivalent Background in appropriate social and natural sciences.",,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
