course,description,experience_type
The Piano Sonata: Russian and 20th-21st Century Composers,"In this course, you’ll review sonata form and learn how the piano sonata was revitalized in the 20th century, with a particular attention to composers from Russia, where the sonata was an especially popular and successful genre. You’ll study some of the most influential piano sonatas of the 20th century, in both Neo-Classical and avant-garde styles. This course will also expose you to a variety of lesser-known and more recent compositions, showing how the piano sonata genre continues to expand and to thrive.

This course was filmed at the University of Michigan School of Music, Theatre & Dance, among other locations, to showcase the depth of the sonata repertoire and the instruments that contributed to its history.",course
The Power of Art in Prisons (Seeking Justice: Conversations on Incarceration),"This module covers the therapeutic power of the arts, and how creative outlets can transform the lives of incarcerated individuals.

<p>To browse the video content, please click the lessons tab or the Start button above. If you find any errors, or have ideas for improvements, or future topics or interviewees, please submit them via the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfOW6BohaAAk_HiwBX5-G41Q7xhZJStZNFOO4StV6eLNgeu2A/viewform?usp=sf_link"" target=""_blank"">Error Reports, Comments, and Suggestions form.</a>
</p>

<p>
Please remember to join us in the Learning Community! For your convenience, here is a <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfsggVqNieHhzEvHCHzsoJzgxmQJlOOPnukx5WBrpu8Hg-P0w/viewform?usp=sf_link"" target=""_blank"">link to the sign-up sheet</a>
</p>",course
The Science of Success: What Researchers Know that You Should Know,"This engaging course is designed to help you achieve the success that you desire. Drawing on decades of scientific research, you will learn what the most successful people do differently than others, why IQ is not the most significant predictor of success (and can sometimes backfire), and why many commonly held beliefs hold people back from achieving their goals.

Although this course is based on the science of success, you will learn many practical ideas that you can apply to your own life immediately, particularly in three main areas:

•\tGetting better results at work (and school) 
•\tAchieving career success (however you define success) 
•\tEnjoying a meaningful, happy, and healthy life

By the time you finish this course you will know more than most people know about what predicts success in life. One of the most important lessons you’ll learn is that success is earned day-by-day through small wins - small, achievable actions that together can help you achieve your goals sooner and exceed even your own expectations. Therefore, you will have an opportunity to complete a detailed action plan through which you can turn what you learned into specific steps for achieving your most treasured life goals.",course
The Science of Success: What Researchers Know that You Should Know,"<h2 id=""create-an-action-plan-that-helps-you-achieve-career-success-and-a-happier-life"">Create an action plan that helps you achieve career success and a happier life</h2>

<p>What predicts success in life? And how can you achieve the success you desire?</p>

<p>On this course, alongside experts from the University of Michigan, you’ll explore decades of scientific research on what the most successful people do differently.</p>

<p>You’ll discover why your IQ isn’t necessarily a reliable predictor of success and why many commonly accepted beliefs are often limiting when it comes to achieving your goals.</p>

<p>By the end of this course, you’ll understand how small, achievable actions will help you exceed your goals faster and you’ll be able to create a plan of action to get there.</p>

<p>This course is for anyone who’d like to know how to plan for a more meaningful, happy, and healthy life or career.</p>

",course
The Ties that Bind: Families & Incarceration (Seeking Justice: Conversations on Incarceration),"<p>In this module formerly incarcerated individuals, family members, and activists share stories of the harm that incarceration does to families, and the effort it takes to attempt to remain whole in the process.</p>

<p>To browse the video content, please click the lessons tab or the Start button above. If you find any errors, or have ideas for improvements, or future topics or interviewees, please submit them via the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfOW6BohaAAk_HiwBX5-G41Q7xhZJStZNFOO4StV6eLNgeu2A/viewform?usp=sf_link"" target=""_blank"">Error Reports, Comments, and Suggestions form.</a>
</p>

<p>
Please remember to join us in the Learning Community! For your convenience, here is a <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfsggVqNieHhzEvHCHzsoJzgxmQJlOOPnukx5WBrpu8Hg-P0w/viewform?usp=sf_link"" target=""_blank"">link to the sign-up sheet</a>
</p>",course
Thoracic Oncology,"Thoracic malignancies are major, global health problems.  Lung cancer is the most common cancer and cause of cancer death in the world, with more than 1.5 million deaths per year.  More Americans will die from lung cancer each year (approximately 159,480) than from colon, breast, pancreatic, and prostate cancer combined (approximately 158,630), the next most common causes of cancer death.  Esophageal cancer is the 6th most common cause of cancer deaths worldwide, and the 4th most common cause in developing nations.

This course will provide a comprehensive, multidisciplinary introduction to state of the art approaches in the care of patients with thoracic malignancies, including various types of lung cancers and esophageal cancers.  Didactic material will cover epidemiology, screening and diagnosis, staging, imaging, radiation therapy, systemic therapy, surgery, psychiatry, and patient support topics.  

This is an on-demand course with integrated learning units that are focused on specific topics.  Each unit contains several video lectures with interactive questions and is followed by a short quiz.

Prerequisites: None required although basic medical training in some field related to thoracic oncology would be helpful.",course
Thrive in Trying Times Teach-Out,"In times of crisis, like the coronavirus and COVID-19 pandemic, we can still find ways to thrive by using positive practices. When many of us feel challenged enough just getting through the day, thriving simply means finding ways to meet those challenges — large or small — with creativity, resourcefulness, and agility. Join this Teach-Out to learn about practices that allow people and organizations to thrive, even during trying times.


We invite you to join us in the Thrive in Trying Times Teach-Out, a free learning experience and global conversation to consider how positive practices might help you navigate this time of stress. You will learn with experts from the Center for Positive Organization at the University of Michigan Stephen M. Ross School of Business about how you can create these conditions using specific, evidence-based practices from the field of Positive Organizational Scholarship. Throughout the TeachOut, experts will share concrete actions you can take, both as an individual and as family, an organization, and community.",teachout
Thrive in Trying Times Teach-Out,"<h2 id=""learn-tips-for-community-organizing-and-maintaining-wellbeing-during-covid-19"">Learn tips for community organizing and maintaining wellbeing during COVID-19</h2>

<p>The COVID-19 pandemic is challenging individuals, communities, and businesses across the globe to work together like never before.</p>

<p>On this course – led by experts from the Center for Positive Organizations at the University of Michigan – you’ll learn how to develop practices to help you get through this crisis.</p>

<p>You’ll discover the scientific grounding behind terms like thriving, resilience, and compassion.</p>

<p>You’ll also consider the value of gratitude and staying connected in a time of social distancing, including tangible steps to take as an individual or part of a larger community</p>

<p>This course is designed for anyone interested in learning more about how to thrive during difficult times and how to respond to crisis effectively.</p>

",teachout
Time Value of Money I,"This course is an introduction to time value of money (TVM) and decision-making to help you understand the basics of finance. This course is part of a specialization titled “Foundational Finance for Strategic Decision-Making” and is helpful if you are interested in applying to an MBA degree program or learning the foundations of finance to be more effective in your career. 

This course is applied and problem-based with assignments that are intentionally introductory and simpler than real-world applications you will confront when making day-to-day financial decisions and in more advanced courses.",course
Time Value of Money-Ross,"We will introduce the time value of money (TVM) framework in a carefully structured way, using relatively simple applications at first and quickly moving to more advance ones. We will then spend some time on developing an understanding of alternative decision criteria (NPV, IRR, Profitability, etc.) that are commonly used in the real world.  We will wrap up the course with an exposure to the determination of cash flows using accounting principles. The main focus in this building block will be on individual/personal decisions because of two reasons: (a) we learn when we see value to us as individuals and (b) the beauty of finance is that the building blocks of finance are applicable to any decision, personal or corporate. The course will last six weeks with time included for assimilation and two final exams.

You can do this course standalone or as part of the online Specialization on Valuation & Investing or to qualify for the residential component of the Finance for Strategic Decision-Making Executive Education program.  For more information on the Finance for Strategic Decision-Making Executive Education program, see the FAQ below.",course
U-M Carceral State Project Symposium Panel Discussions,"<p>The University of Michigan Carceral State Project’s 2018-19 symposium is a year of critical dialogue about criminal justice, policing, imprisonment, inequality, and what can be done about it.
</p>
<p>
The U-M Carceral State project is an interdisciplinary collaboration that brings together faculty, students, staff, and community members to examine, research, and advocate on issues related to mass incarceration, policing, immigration detention, and criminal justice. For more information about the Project, visit bit.ly/carceralstateproject.</p>
<p>
The 2018-19 symposia are the first major events hosted by the University of Michigan Carceral State Project. Each instalment in the series brought together faculty, students, staff, and community members to interrogate a given theme related to mass incarceration, policing, immigration control, and criminal justice. These conversations will form the foundation of the Carceral State Project’s future activist, outreach and scholarly agenda.</p>
<p>
The symposia consists of six roundtable discussions featuring five speakers addressing a given theme and discussing their own experiences and understandings of the carceral state. Critically, the symposia is committed to amplifying the voices of those most directly impacted by the carceral state as well as those actively working towards a more just future. Each roundtable is composed of local impacted communities including formerly incarcerated people, lawyers and social justice advocates, and community organizers.</p>
<p>To browse the video content, please click the lessons tab or the Start button above. If you find any errors, or have ideas for improvements, or future topics or interviewees, please submit them via the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfOW6BohaAAk_HiwBX5-G41Q7xhZJStZNFOO4StV6eLNgeu2A/viewform?usp=sf_link"" target=""_blank"">Error Reports, Comments, and Suggestions form.</a>
</p>

<p>
Please remember to join us in the Learning Community! For your convenience, here is a <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfsggVqNieHhzEvHCHzsoJzgxmQJlOOPnukx5WBrpu8Hg-P0w/viewform?usp=sf_link"" target=""_blank"">link to the sign-up sheet</a>
</p>",course
UMSI MADS Instructional Staff Orientation,"This is a private training course for all staff working with [ DEGREE PROGRAM NAME ] online degree students. Staff in this course will learn about the their roles and responsibilities, tools to communicate and support students, and be familiar with the Coursera platform.",course
Understanding and Addressing Extremism Teach-Out,"When someone becomes radicalized and drifts toward more extremist ideologies, it not only affects that person, but also their family, friends, wider social circle and society. In the wake of the insurrection in the U.S. Capitol on January 6th, conversations about extremism and what to do about it are on the rise. Many are concerned that extremist views are becoming more mainstream and are looking for resources to better understand and address this growing issue. 

This Teach-Out will provide a historical view of extremism, both international and domestic, and will discuss current issues related to online radicalism, political polarization, conspiracy theories, and recent examples of extremism. The Teach-Out will also offer learners ways in which they can take action in their own lives, counter extremism in their own communities and strategies for addressing extremist views with friends and family. 

In this Teach-Out, we will address the following questions:
What is “extremism”? Who is an “extremist”? 
How has U.S. policy around terrorism and extremism evolved over the past couple of decades? 
How does social media and disinformation impact how extremist ideologies spread? 
What role does the media play in all of this? 
How do we talk to our friends, family, and colleagues about this topic? 
What can be done to raise awareness about this issue and address it in our own communities?",teachout
Understanding and Addressing Extremism Teach-Out,"<h2 id=""delve-into-the-history-of-domestic-and-international-extremism"">Delve into the history of domestic and international extremism</h2>

<p>In the wake of the insurrection in the U.S. Capitol, the rising issue of extremist views has become a conversation across the globe, specifically about countering violent extremism.</p>

<p>On this two-week Teach-Out, you’ll learn about the history of global extremism, how it has become more mainstream, and the ways we can address the issue.</p>

<h2 id=""how-do-political-polarisation-and-social-media-play-a-part-in-extremism"">How do political polarisation and social media play a part in extremism?</h2>

<p>With online radicalisation an ever-growing threat, it’s important to understand the role that social media plays in both political polarisation and extremism.</p>

<p>This Teach-Out will also help you better understand the psychology of extremism and what drives people to develop extremist views.</p>

<h2 id=""develop-action-strategies-for-combating-extremism"">Develop action strategies for combating extremism</h2>

<p>By completing this Teach-Out, you’ll look at ways you can take action in your own life, how to counter extremism in your own community, and strategies for addressing extremist views with friends and family.</p>

<h2 id=""learn-with-top-researchers-and-scholars-from-the-university-of-michigan"">Learn with top researchers and scholars from the University of Michigan</h2>

<p>This Teach-Out is led by the experts at The University of Michigan; top researchers and scholars who are all well-situated to present a broad range of perspectives.</p>

<p>They will guide you through the topic, helping you to understand the issue of extremism and giving you the strategies to counter it in your own life.</p>

<p>This Teach-Out is for anyone interested in learning more about rising global extremism and associated extremist groups. It’s designed to help you develop actionable strategies to combat extremism.</p>

",teachout
Understanding and Visualizing Data with Python,"In this course, learners will be introduced to the field of statistics, including where data come from, study design, data management, and exploring and visualizing data. Learners will identify different types of data, and learn how to visualize, analyze, and interpret summaries for both univariate and multivariate data. Learners will also be introduced to the differences between probability and non-probability sampling from larger populations, the idea of how sample estimates vary, and how inferences can be made about larger populations based on probability sampling.

At the end of each week, learners will apply the statistical concepts they’ve learned using Python within the course environment. During these lab-based sessions, learners will discover the different uses of Python as a tool, including the Numpy, Pandas, Statsmodels, Matplotlib, and Seaborn libraries. Tutorial videos are provided to walk learners through the creation of visualizations and data management, all within Python. This course utilizes the Jupyter Notebook environment within Coursera.",course
Understanding Impeachment Teach-Out,"Welcome to the Understanding Impeachment Teach-Out. Whether you’re a republican or a democrat, independent, or not affiliated, you likely have questions about impeachment. In this Teach-Out we will be speaking with leading experts across the disciplines of law, political science, and public policy as well as former federal prosecutors and political candidates. 

We recognize that impeachment of any elected official can be a hyper-partisan event, one that often splits along party lines or is  wrapped up in deeply rooted personal and political ideals. We wanted to create this Teach-Out as a learning experience and an opportunity where everyone, despite political opinion, can join and have a productive and respectful conversation. Rather than focusing on current events that are changing daily, this Teach-Out aims to provide context by exploring the legal and political processes of impeachment, the history of impeachment in the U.S. and the implications that impeachment may have on the U.S. moving forward. 

In this Teach-Out we will cover the following questions:
What are the legal and political processes of impeachment? 
What are the different forms of congressional oversight and where does impeachment fit in? 
How do lawmakers frame decisions around initiating impeachment proceedings? What’s at stake? 
How does potential political pressure relate to the impeachment process? In past examples or in today’s process, do we see impact from media influence or election proximity?
Are there examples from Presidents Johnson, Nixon or Clinton that could help our learners better understand impeachment in the U.S.?
What are the key similarities and differences between criminal proceedings and the impeachment process?",teachout
Understanding Sport-Related Concussion Teach-Out,"Over the past decade, there has been a growing concern over possible long-term effects of concussion. In this Teach-Out, you will learn about concussions from leading experts from the fields of neurology, engineering, law, journalism, athletic training, and policy about concussion education and protocol. You will also learn from coaches, athletes, and parents who have experience working with sport-related concussions and discuss this critical issue with fellow Teach-Out participants.    

In this Teach-Out, we will address the following questions:
What is a concussion? 
What is the current and future of concussion-related legislation and policy in the U.S.? 
What are the biggest legal issues surrounding concussions? 
What should you do if you witness an event where an athlete might have sustained a concussion?
What are the duties of an athletic trainer in the evaluation and management of concussions?
What role does the media play in the concussion conversation? 
What role do helmets or other equipment play in concussion prevention?
How can we collectively empower parents and student athletes to take concussions seriously and help reduce the risk of participating in the sports they love? 

Teach-Out lead instructors and hosts, Steve Broglio, PhD, Matt Lorincz, MD, PhD, and Carrie Morton, are all affiliated with the Michigan Concussion Center, which strives to maximize societal and individual health through the relentless pursuit of concussion knowledge.

The contents of this Teach-Out, such as text, graphics, images, and other material are for informational purposes only. The content is not intended to be a substitute for professional medical advice, diagnosis, or treatment. Always seek the advice of your physician or other qualified health provider with any questions you may have regarding a medical condition. Never disregard professional medical advice or delay in seeking it because of something you have read in the Teach-Out!

If you think you may have a medical emergency, call your doctor or 911 immediately. The Teach-Out does not recommend or endorse any specific tests, physicians, products, procedures, opinions, or other information that may be mentioned on the site. Reliance on any information provided by the Teach-Out, the Teach-Out instructors, others appearing on the site at the invitation of the Teach-Out, or other visitors to the site is solely at your own risk.",teachout
Understanding User Needs,"Designing effective interactive systems requires understanding the needs and capabilities of the people who will be using them. In this UX course we will focus on how to interact with users (or potential users) to understand what they need, what they currently do, what they love and hate, and examine human capabilities and behavior as they relate to UX design.

Learners will be introduced to numerous techniques to gather data from and about users.

This course is part of the User Experience (UX) Research and Design specialization offered on Coursera.

What you'll learn:

     Find out what user needs assessments are, what qualitative research is, and how the two are related.
     Learn an end-to-end methodology for qualitative research that is suited for understanding user needs. The methodology 
     includes knowledge of semi-structured interviews, in-situ observation, and affinity walls.
     Be exposed to good practices for conducting semi-structured interviews, in-situ observation, and affinity walls.
     Gain some experience with semi-structured interviews, in-situ observations, and affinity walls.",course
Understanding User Needs,"<p>Designing effective interactive systems requires understanding the needs and capabilities of the people who will be using them. In this UX course we will focus on how to interact with users (or potential users) to understand what they need, what they currently do, what they love and hate, and examine human capabilities and behavior as they relate to UX design.</p><p>Learners will be introduced to numerous techniques to gather data from and about users.</p><p>This course is part of the <a href=""https://www.edx.org/micromasters/michiganx-user-experience-ux-research-design"">User Experience (UX) Research and Design MicroMasters Program</a> offered by <a href=""http://www.edx.org/school/michiganx"">MichiganX</a>.<br /><br /></p>",course
Understanding User Needs,"<h2 id=""explore-how-to-better-meet-user-needs-through-data-driven-user-centred-design"">Explore how to better meet user needs through data-driven user-centred design</h2>

<p>To design an effective product or system, it is vital to understand the specific needs and abilities of the people using it.</p>

<p>On this UX research course, you’ll develop your ability to interact with your users by understanding what they need, what they don’t need, as well as their likes, and dislikes.</p>

<h2 id=""discover-a-user-centred-design-approach"">Discover a user-centred design approach</h2>

<p>Led by experts in UX design at the University of Michigan, you’ll discover practical techniques for better understanding your user, including user needs assessments and qualitative research methodology.</p>

<p>As you consider how human behaviour relates to UX design, you’ll identify the value of qualitative UX research for understanding user needs.</p>

<h2 id=""learn-how-to-conduct-effective-ux-interviews"">Learn how to conduct effective UX interviews</h2>

<p>Alongside a global group of learners, you’ll discover various data gathering techniques for learning more about your user, including UX interview questions, protocol, and technique.</p>

<p>You’ll learn best practice approaches for conducting effective UX interviews and in-situ user observations, as well as how to use affinity diagramming to analyse your findings.</p>

<h2 id=""implement-data-driven-ux-design"">Implement data-driven UX design</h2>

<p>As you learn how to extract data from research, interviews, and observations of your users, you’ll develop your ability to translate these learnings into your UX design practice.</p>

<p>By the end of this course, you’ll understand not only how to extract data from your users, but also how to use this data to meet user needs through data-driven UX.</p>

<p>This course is designed for anyone looking to gain experience in UX principles, techniques, and processes, but specifically in the area of UX research and interviews.</p>

",course
User Experience & Interaction Design for AR/VR/MR/XR,"This second course in the XR for Everybody specialization looks at how to design new user experiences for XR technologies. The course provides learners with a design thinking mindset and equips them with a fundamental toolbox for creating XR applications using rapid prototyping. It starts with a broad overview of the complete XR design process, discussing different paths to becoming an XR creator, what is generally involved in making XR experiences, and how to best get started. The course then emphasizes design thinking, critiques, and ethics while introducing guidelines and user-centered techniques like design jams. The second half of the course introduces a variety of methods and tools for prototyping both physically and digitally including on the XR devices themselves through immersive authoring.

The course has an honors track that guides learners through creating their own storyboard, physical prototype, and digital prototype of an XR experience. You will work on exercises that allow you to practice your design skills and also build XR technologies into your workflow by working with specific templates and new digital tools that allow you to preview physical prototypes on AR/VR devices.",course
Using Databases with Python,"This course will introduce students to the basics of the Structured Query Language (SQL) as well as basic database design for storing data as part of a multi-step data gathering, analysis, and processing effort.  The course will use SQLite3 as its database.  We will also build web crawlers and multi-step data gathering and visualization processes.  We will use the D3.js library to do basic data visualization.  This course will cover Chapters 14-15 of the book “Python for Everybody”. To succeed in this course, you should be familiar with the material covered in Chapters 1-13 of the textbook and the first three courses in this specialization. This course covers Python 3.",course
"Using JavaScript, JQuery, and JSON in Django","In this final course, we'll look at the JavaScript language and how it supports the Object-Oriented pattern, with a focus on the unique aspects of JavaScript's approach to OO. We'll provide an introduction to the jQuery library, which is widely used for in-browser manipulation of the Document Object Model (DOM) and event handling. You'll also learn about JavaScript Object Notation (JSON), which is commonly used as a syntax to exchange data between code running on the server (i.e., in Django) and code running in the browser (JavaScript/jQuery). You will continue to develop your classified ads application, adding features that make use of JavaScript, JQuery, and JSON.  This course assumes you have completed the first three courses in the specialization.",course
"Using JavaScript, JQuery, and JSON in Django","<p>In this final course, we'll look at the JavaScript language and how it supports the Object-Oriented pattern, with a focus on the unique aspects of JavaScript's approach to OO. We'll provide an introduction to the jQuery library, which is widely used for in-browser manipulation of the Document Object Model (DOM) and event handling. You'll also learn about JavaScript Object Notation (JSON), which is commonly used as a syntax to exchange data between code running on the server (i.e., in Django) and code running in the browser (JavaScript/jQuery). You will continue to develop your classified ads application, adding features that make use of JavaScript, JQuery, and JSON. This course assumes you have completed the first three courses in the specialization.</p>",course
"Using JavaScript, jQuery, and JSON in Django","<h2 id=""learn-how-javascript-supports-the-framework-of-django"">Learn how JavaScript supports the framework of Django</h2>

<p>Django is a Python web framework that encourages fast development and a clean, pragmatic design.</p>

<p>This comprehensive course will introduce you to the JavaScript language, and will show you how it supports Django’s framework.</p>

<h2 id=""look-at-the-javascript-language-in-django-and-see-how-it-supports-the-object-oriented-pattern"">Look at the JavaScript language in Django and see how it supports the object-oriented pattern</h2>

<p>You’ll take an in-depth look at the JavaScript language and will see how it supports the object-orientated pattern within programming.</p>

<p>You’ll also get insight into the jQuery library; widely used for in-browser manipulation of the Document Object Model (DOM) and event handling, as well as debugging capabilities.</p>

<h2 id=""identify-where-to-use-the-javascript-object-notation-json-in-django"">Identify where to use the JavaScript Object Notation (JSON) in Django</h2>

<p>You’ll also learn about the JavaScript Object Notation (JSON), which is commonly used as a syntax to exchange data between code running on the server (or in Django), and code running in the browser (or in JavaScript or jQuery).</p>

<p>Finally, you’ll continue to develop your classified ads application, adding and incorporating features that make use of JavaScript, JQuery, and JSON.</p>

<h2 id=""learn-from-experts-in-django-and-javascript-at-the-university-of-michigan"">Learn from experts in Django and JavaScript at the University of Michigan</h2>

<p>As the number one ranking public research university within the entirety of the United States, the University of Michigan has been a leader in research, learning, and teaching for more than 200 years.</p>

<p>This course is the final  part of a series of courses that introduces Python programmers to building websites and apps using the Django library. Across the entirety of the four courses, you’ll learn HTML, CSS, SQL, Django, JavaScript, jQuery, and JSON Web Services.</p>

<p>This programming course is designed for learners who are wanting to get into web development and who have some basic Python programming experience.</p>

<p>This series of courses is also excellent preparation for learning other ways to build web applications using technologies like PHP (Web Applications for Everybody), Flask or Ruby on Rails, and therefore could be suitable to anyone wishing to work within these fields.</p>

",course
Using Python to Access Web Data,"This course will show how one can treat the Internet as a source of data.  We will scrape, parse, and read web data as well as access data using web APIs.  We will work with HTML, XML, and JSON data formats in Python.  This course will cover Chapters 11-13 of the textbook “Python for Everybody”. To succeed in this course, you should be familiar with the material covered in Chapters 1-10 of the textbook and the first two courses in this specialization.  These topics include variables and expressions, conditional execution (loops, branching, and try/except), functions, Python data structures (strings, lists, dictionaries, and tuples), and manipulating files.  This course covers Python 3.",course
Uso de bancos de dados com Python,"Este curso apresentará aos alunos os conceitos básicos da Linguagem de Consulta Estruturada (SQL), bem como o design básico do banco de dados para armazenar dados como parte de um esforço de coleta, análise e processamento de dados em várias etapas.  O curso usará o SQLite3 como banco de dados.  Também criaremos rastreadores da Web e processos de coleta e visualização de dados em várias etapas.  Usaremos a biblioteca D3.js para fazer a visualização básica de dados.  Este curso abordará os capítulos 14 e 15 do livro “Python para Todos”. Para ter êxito neste curso, você deve estar familiarizado com o material abordado nos capítulos 1 a 13 do livro e os três primeiros cursos desta especialização. Este curso aborda o Python 3.",course
Uso de bases de datos con Python,"Este curso presentará a los estudiantes los conceptos básicos del lenguaje de consulta estructurado (Structured Query Language, SQL), así como el diseño básico de bases de datos para almacenar datos como parte de una iniciativa de varios pasos para recopilar, analizar y procesar datos.  El curso utilizará SQLite3 como base de datos.  También crearemos rastreadores web y procesos de visualización y recopilación de datos de varios pasos.  Utilizaremos la biblioteca D3.js para realizar la visualización básica de datos.  Este curso abarcará los capítulos de 14 y 15 del libro “Python para todos”. Para que le vaya bien en este curso, debe estar familiarizado con el material cubierto en los capítulos 1 a 13 del libro de texto y los primeros tres cursos de esta especialización. Este curso abarca Python 3.",course
Uso de Python para Acceder a Datos Web,"En este curso, aprenderás cómo la Internet se puede convertir en una fuente de datos.  Para esto, rasparemos, analizaremos y leeremos los datos web y también accederemos datos mediante APIs web.  Trabajaremos con formatos de datos HTML, XML y JSON en Python. Este curso abarcará los capítulos 11-13 del libro de texto ""Python for Everybody"". Para tener éxito en este curso, debes estar familiarizado con el material que se incluye en los capítulos 1-10 del libro de texto y los dos primeros cursos de esta especialización.  Estos temas incluyen variables y expresiones, ejecución condicional (bucles, ramificación y try/except), funciones, estructuras de datos de Python (cadenas, listas, diccionarios y tuplas) y manipulación de archivos. Este curso abarca Python 3.",course
UX (User Experience) Capstone,"In this UX capstone course, you’ll conduct a multi-stage user experience project to design a product from scratch. You will employ interviews, inspection methods, and user testing, along with ideation, design, and prototyping methods to gain and communicate valuable insight that can be used to deliver a compelling product.

You will:
    Learn how to design and carry out an integrated multi-phase user experience research and design project
    Gain experience conducting user experience research in a real-world setting
    Gain hands-on experience with a realistic UX design project
    Improve ability to communicate design concepts and actionable research findings.",course
UX (User Experience) Capstone,"<p>In this UX capstone, you&rsquo;ll conduct a multi-stage user experience project to design a product from scratch, incorporating Design and Research methods within the context of Iterative User-Centered Design. This capstone project will be divided into 6 ""Milestones"" to provide feedback at key points in your process. These milestones are expected to take approximately 20-30 hours each, and instructional team feedback will keep you on track as you complete the capstone. You will employ interviews, inspection methods, and user testing, along with ideation, design, and prototyping methods to gain and communicate valuable insight that can be used to deliver a compelling product. You can propose your own product, or you can choose from a list of design challenges provided by the instructional team.<br /><br />This course is part of the User Experience (UX) Research and Design MicroMasters Program offered by <a href=""https://www.edx.org/school/michiganx"">MichiganX</a>.<br /><br /></p>",course
UX (User Experience) Capstone,"<h2 id=""demonstrate-your-newfound-ux-knowledge-and-skills"">Demonstrate your newfound UX knowledge and skills</h2>

<p>You’ve studied the basic principles of UX, how to evaluate user needs, and the processes for UX design and research. Now, bring everything you’ve learned on this ExpertTrack so far into one final project.</p>

<h2 id=""learn-how-to-conduct-a-multi-stage-ux-project"">Learn how to conduct a multi-stage UX project</h2>

<p>Putting your UX skills into practice can seem daunting. On this course, you’ll be guided through the process of designing and carrying out an integrated multi-phase user experience research and design project.</p>

<h2 id=""design-and-deliver-a-product-from-scratch"">Design and deliver a product from scratch</h2>

<p>Gain hands-on experience conducting user experience research in a real-world setting for this final course. You’ll utilise user interviews, inspection methods, and user testing to gather and assess your user research.</p>

<p>Then, you’ll handle ideation, design, and prototyping methods to round out your realistic UX design project. The project will take you through five key milestones, each one explained and explored by the experts at The University of Michigan.</p>

<h2 id=""develop-your-confidence-in-communicating-design-concepts-and-research-findings"">Develop your confidence in communicating design concepts and research findings</h2>

<p>Through your work on a realistic UX research and design project, you’ll learn to communicate valuable insights that can be used to deliver a compelling product. By the end of this course, you will have improved your confidence and ability to showcase actionable research findings and design concepts.</p>

<p><em>Note: You may need to spend more than 10 hours a week on a weekly project in this course.</em></p>

<p>This course is designed for anyone looking to gain experience in UX principles, techniques, and processes.</p>

<p>It will be of particular interest if you want to acquire or develop your user experience design skills and learn how to apply UX knowledge to realistic projects.</p>

",course
UX Design: From Concept to Prototype,"Great design doesn’t come out of nowhere; it is born, nurtured, and grown--all through a systematic, learnable process. In this UX course, you will explore the process of taking a basic concept, grounded in user needs, and developing it into a design that will address those needs. In the course, you will gain hands-on experience with techniques such as sketching, scenario development, storyboarding, and wireframing that will help you transform your understanding of what your users need into a compelling user experience. You will then learn how to turn wireframes and interaction architecture into interactive prototypes that can be tested with prospective users and iteratively refined into a high quality design that that is ready for a hand-off to the development team for implementation.

What You’ll Learn:
    Define and scope the design problem you will try to address
    Create user stories and storyboards to transform information about user needs into design concepts
    Produce sketches and conduct brainstorming sessions to generate many design ideas from which you can construct a high-quality design solution
    Develop interface wireframes to concretize the design and enable early user testing
    Conduct user tests with paper prototypes to get preliminary user feedback on the design concept and interactions
    Develop high-fidelity mockups that specify visual design elements
    Create Wizard of Oz prototypes to efficiently test complex interactions and interactive systems that are not screen-based (e.g., smart assistants)",course
UX Design: From Concept to Prototype,"<h2 id=""enhance-your-skills-in-user-interaction-design-and-development"">Enhance your skills in user interaction design and development</h2>

<p>Want to learn the secret to great UX design? This UX course from the University of Michigan will teach you the systematic process of nurturing a product from its basic concept to a functioning prototype.</p>

<h2 id=""define-user-needs-and-create-a-ux-storyboard"">Define user needs and create a UX storyboard</h2>

<p>You’ll begin the course by learning how to identify the problem you’re trying to solve for your user and discovering the UX techniques you can use to develop a design that solves it.</p>

<p>You’ll get hands-on experience in techniques like scenario development, UX sketching, and storyboarding, which you can use to translate your understanding of your users’ needs into an impactful user experience.</p>

<h2 id=""build-skills-in-ux-wireframing-and-prototype-design"">Build skills in UX wireframing and prototype design</h2>

<p>As you discover the UX wireframing process, you’ll learn how to turn UX wireframes into prototypes that can be used for evaluating your designs in user testing.</p>

<p>This course covers the process of user testing using paper prototypes for early testing feedback as well as more interactive prototypes that can be iterated on to create a final, high-quality design.</p>

<h2 id=""learn-low-to-high-fidelity-ux-prototyping"">Learn low to high-fidelity UX prototyping</h2>

<p>By the end of the course, you’ll have developed your ability to build a product from its basic concept to a high-fidelity mockup and interactive prototype.</p>

<p>You’ll be able to solve and test conceptual issues in prototyping and design and refine a product that is ready to pass on to a team of developers for implementation.</p>

<p>This course is designed for anyone looking to gain experience in UX principles, techniques, and processes, but specifically in the areas of UI design, UX wireframing, and prototyping.</p>

",course
